Project ID,Transaction ID,2010 Census Tract,"Metro/Non-Metro, 2010 Census",Origination Year,Community Development Entity (CDE) Name,QLICI Amount,City,State,Zip Code,Purpose of Investment,QALICB Type,Multi-CDE,Multi-Tract QLICI
AK0010,11,2020001000,Metropolitan,2007,"USBCDE, LLC","$2,002,700.00 ",Anchorage,AK,99501,Real Estate–Rehabilitation–Commercial,RE,YES,NO
AK0010,12,2020001000,Metropolitan,2007,"Consortium America, LLC","$4,420,000.00 ",Anchorage,AK,99501,Real Estate–Rehabilitation–Commercial,RE,YES,NO
AK0010,13,2020001000,Metropolitan,2007,"Consortium America, LLC","$1,268,960.00 ",Anchorage,AK,99501,Real Estate–Rehabilitation–Commercial,RE,YES,NO
AK0011,14,2020001100,Metropolitan,2006,"Alaska Growth Capital BIDCO, Inc.","$225,000.00 ",Anchorage,AK,99501,Business Financing,NRE,NO,NO
AK0012,15,2020002100,Metropolitan,2006,"Alaska Growth Capital BIDCO, Inc.","$607,500.00 ",Anchorage,AK,99517,Business Financing,NRE,NO,NO
AK0013,16,2020001900,Metropolitan,2006,"Alaska Growth Capital BIDCO, Inc.","$750,000.00 ",Anchorage,AK,99503,Business Financing,NRE,NO,NO
AK0014,17,2020001100,Metropolitan,2006,"Alaska Growth Capital BIDCO, Inc.","$206,250.00 ",Anchorage,AK,99501,Business Financing,NRE,NO,NO
AK0015,18,2050000100,Non-Metropolitan,2009,Capital Impact Partners,"$10,123,526.00 ",Platinum,AK,99651,Business Financing,NRE,YES,NO
AK0015,19,2050000100,Non-Metropolitan,2009,Capital Impact Partners,"$2,876,474.00 ",Platinum,AK,99651,Business Financing,NRE,YES,NO
AK0015,20,2050000100,Non-Metropolitan,2009,"Travois New Markets, LLC","$4,531,532.00 ",Platinum,AK,99651,Business Financing,NRE,YES,NO
AK0015,21,2050000100,Non-Metropolitan,2009,"Travois New Markets, LLC","$4,531,532.00 ",Platinum,AK,99651,Business Financing,NRE,YES,NO
AK0015,22,2050000100,Non-Metropolitan,2009,"Travois New Markets, LLC","$4,570,936.00 ",Platinum,AK,99651,Business Financing,NRE,YES,NO
AK0015,23,2050000100,Non-Metropolitan,2009,"Travois New Markets, LLC","$1,218,468.00 ",Platinum,AK,99651,Business Financing,NRE,YES,NO
AK0015,24,2050000100,Non-Metropolitan,2009,"Travois New Markets, LLC","$1,218,468.00 ",Platinum,AK,99651,Business Financing,NRE,YES,NO
AK0015,25,2050000100,Non-Metropolitan,2009,"Travois New Markets, LLC","$1,229,064.00 ",Platinum,AK,99651,Business Financing,NRE,YES,NO
AK0015,26,2020001100,Metropolitan,2009,"Waveland Community Development, LLC","$8,000,000.00 ",Anchorage,AK,99501,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,YES,NO
AK0015,27,2020001100,Metropolitan,2009,"Waveland Community Development, LLC","$2,000,000.00 ",Anchorage,AK,99501,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,YES,NO
AK0016,28,2020001100,Metropolitan,2006,"Alaska Growth Capital BIDCO, Inc.","$1,500,000.00 ",Anchorage,AK,99501,Business Financing,NRE,NO,NO
AK0017,29,2020000600,Metropolitan,2006,"Alaska Growth Capital BIDCO, Inc.","$296,250.00 ",Anchorage,AK,99501,Business Financing,NRE,NO,NO
AK0018,30,2050000100,Non-Metropolitan,2006,"Alaska Growth Capital BIDCO, Inc.","$337,500.00 ",Kwethluk,AK,99621,Business Financing,NRE,NO,NO
AK0019,31,2090000100,Metropolitan,2006,"Alaska Growth Capital BIDCO, Inc.","$431,250.00 ",Fairbanks,AK,99701,Business Financing,NRE,NO,NO
AK0020,32,2090000300,Metropolitan,2006,"Alaska Growth Capital BIDCO, Inc.","$495,000.00 ",Fairbanks,AK,99701,Business Financing,NRE,NO,NO
AK0021,33,2290000200,Non-Metropolitan,2006,"Alaska Growth Capital BIDCO, Inc.","$1,200,000.00 ",Stevens Village,AK,99774,Business Financing,NRE,NO,NO
AK0022,34,2188000200,Non-Metropolitan,2010,"Alaska Growth Capital BIDCO, Inc.","$13,657,023.00 ",Kotzebue,AK,99752,Business Financing,NRE,NO,NO
AK0022,35,2188000200,Non-Metropolitan,2010,"Alaska Growth Capital BIDCO, Inc.","$3,803,972.00 ",Kotzebue,AK,99752,Business Financing,NRE,NO,NO
AK0025,36,2170000102,Metropolitan,2006,"Alaska Growth Capital BIDCO, Inc.","$348,750.00 ",Talkeetna,AK,99676,Business Financing,NRE,NO,NO
AK0026,37,2122000100,Non-Metropolitan,2004,"Alaska Growth Capital BIDCO, Inc.","$1,000,000.00 ",Tyonek,AK,99682,Business Financing,NRE,NO,NO
AK0027,38,2180000100,Non-Metropolitan,2004,"Alaska Growth Capital BIDCO, Inc.","$2,138,132.60 ",Unalakleet,AK,99684,Business Financing,NRE,NO,NO
AK0029,39,2020002502,Metropolitan,2011,"Alaska Growth Capital BIDCO, Inc.","$22,270,365.00 ",Quinhagak,AK,99655,Business Financing,NRE,YES,NO
AK0029,40,2020002502,Metropolitan,2011,"Alaska Growth Capital BIDCO, Inc.","$7,307,220.00 ",Russian Mission,AK,99657,Business Financing,NRE,YES,NO
AK0029,45,2020002502,Metropolitan,2011,"Travois New Markets, LLC","$16,916,845.00 ",Tuluksak,AK,99679,Business Financing,NRE,YES,NO
AK0029,46,2020002502,Metropolitan,2011,"Travois New Markets, LLC","$6,260,155.00 ",Nunam Iqua,AK,99666,Business Financing,NRE,YES,NO
AK0029,47,2020002100,Metropolitan,2011,"Waveland Community Development, LLC","$19,087,200.00 ",Bethel,AK,99509,Business Financing,RE,YES,NO
AK0029,48,2020002100,Metropolitan,2011,"Waveland Community Development, LLC","$4,912,800.00 ",Wade,AK,99509,Business Financing,RE,YES,NO
AK0029,53,2020001400,Metropolitan,2012,"Lower Brule Community Development Enterprise, LLC","$8,739,000.00 ",Anchorage,AK,99503,Business Financing,NRE,YES,NO
AK0029,41,2020001400,Metropolitan,2012,"USBCDE, LLC","$4,414,450.00 ",Anchorage,AK,99503,Business Financing,NRE,YES,NO
AK0029,42,2020001400,Metropolitan,2012,"USBCDE, LLC","$2,085,550.00 ",Anchorage,AK,99503,Business Financing,NRE,YES,NO
AK0029,43,2180000100,Non-Metropolitan,2012,"Travois New Markets, LLC","$8,185,400.00 ",Koyuk,AK,99771,Business Financing,NRE,YES,NO
AK0029,44,2180000100,Non-Metropolitan,2012,"Travois New Markets, LLC","$3,574,600.00 ",Shaktoolik,AK,99771,Business Financing,NRE,YES,NO
AK0029,49,2020002100,Metropolitan,2012,"Waveland Community Development, LLC","$21,264,438.00 ",Dillingham,AK,99509,Business Financing,NRE,YES,NO
AK0029,50,2020002100,Metropolitan,2012,"Waveland Community Development, LLC","$7,135,562.00 ",Dillingham,AK,99509,Business Financing,NRE,YES,NO
AK0029,51,2020001400,Metropolitan,2013,"CNB Economic Development Company, LLC","$6,018,731.00 ",Anchorage,AK,99503,Business Financing,NRE,YES,NO
AK0029,52,2020001400,Metropolitan,2013,"CNB Economic Development Company, LLC","$2,351,269.00 ",Anchorage,AK,99503,Business Financing,NRE,YES,NO
AK0030,54,2290000300,Non-Metropolitan,2011,"Travois New Markets, LLC","$5,706,453.00 ",Galena,AK,99741,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,NRE,NO,NO
AK0030,55,2290000300,Non-Metropolitan,2011,"Travois New Markets, LLC","$1,937,547.00 ",Galena,AK,99741,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,NRE,NO,NO
AK0032,56,2020001100,Metropolitan,2012,"Consortium America, LLC","$3,014,400.00 ",Anchorage,AK,99501,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,YES,NO
AK0032,57,2020001100,Metropolitan,2012,"Consortium America, LLC","$905,600.00 ",Anchorage,AK,99501,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,YES,NO
AK0032,58,2020001100,Metropolitan,2012,"Wells Fargo Community Development Enterprises, Inc.","$5,277,000.00 ",Anchorage,AK,99501,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,YES,NO
AK0032,59,2020001100,Metropolitan,2012,"Wells Fargo Community Development Enterprises, Inc.","$2,223,000.00 ",Anchorage,AK,99501,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,YES,NO
AK0032,60,2020001100,Metropolitan,2012,"Brownfield Revitalization, LLC","$4,521,600.00 ",Anchorage,AK,99501,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,YES,NO
AK0032,61,2020001100,Metropolitan,2012,"Brownfield Revitalization, LLC","$1,358,400.00 ",Anchorage,AK,99501,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,YES,NO
AK0033,62,2020000600,Metropolitan,2006,"Alaska Growth Capital BIDCO, Inc.","$150,000.00 ",Anchorage,AK,99501,Business Financing,NRE,NO,NO
AK0034,63,2020000600,Metropolitan,2006,"Alaska Growth Capital BIDCO, Inc.","$297,000.00 ",Anchorage,AK,99501,Business Financing,NRE,NO,NO
AK0035,64,2020001000,Metropolitan,2011,"Alaska Growth Capital BIDCO, Inc.","$100,000.00 ",Anchorage,AK,99501,Business Financing,NRE,NO,NO
AK0036,65,2290000400,Non-Metropolitan,2011,"Alaska Growth Capital BIDCO, Inc.","$300,000.00 ",Anvik,AK,99558,Business Financing,RE,NO,NO
AK0036,66,2290000400,Non-Metropolitan,2011,"Alaska Growth Capital BIDCO, Inc.","$100,000.00 ",Anvik,AK,99558,Business Financing,RE,NO,NO
AL0001,67,1073002700,Metropolitan,2006,"Wachovia Community Development Enterprises, LLC","$11,250,000.00 ",Birmingham,AL,35206,Real Estate–Rehabilitation–Commercial,RE,NO,NO
AL0001,68,1073002700,Metropolitan,2006,"Wachovia Community Development Enterprises, LLC","$2,750,000.00 ",Birmingham,AL,35206,Real Estate–Rehabilitation–Commercial,RE,NO,NO
AL0001,69,1073002700,Metropolitan,2006,"Wachovia Community Development Enterprises, LLC","$400,000.00 ",Birmingham,AL,35206,Real Estate–Rehabilitation–Commercial,RE,NO,NO
AL0002,70,1073002700,Metropolitan,2007,"Cahaba Community Development, LLC","$1,000,000.00 ",BIRMINGHAM,AL,35203,Real Estate–Rehabilitation–Commercial,RE,NO,NO
AL0003,71,1073002400,Metropolitan,2009,Greystone CDE LLC,"$2,270,000.00 ",Birmingham,AL,35233,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,NRE,NO,NO
AL0003,72,1073002400,Metropolitan,2009,Greystone CDE LLC,"$1,230,000.00 ",Birmingham,AL,35233,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,NRE,NO,NO
AL0004,73,1073004500,Metropolitan,2007,"Cahaba Community Development, LLC","$16,250,000.00 ",BIRMINGHAM,AL,35233,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,NO,NO
AL0005,74,1073004200,Metropolitan,2010,"HFHI-SA NMTC I, LLC","$5,908,129.00 ",Birmingham,AL,35022,Real Estate – Construction–Housing-Single Family,RE,NO,NO
AL0006,75,1073004500,Metropolitan,2007,"Cahaba Community Development, LLC","$18,200,000.00 ",BIRMINGHAM,AL,35205,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,NO,NO
AL0007,76,1121011300,Non-Metropolitan,2008,"National New Markets Tax Credit Fund, Inc","$122,500.00 ",Childersburg,AL,35150,Business Financing,NRE,NO,NO
AL0008,77,1069041400,Metropolitan,2008,"Eclypse Development Partners I, LLC","$2,500,000.00 ",Dothan,AL,36303,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,NO,NO
AL0009,78,1097001200,Metropolitan,2008,"National New Markets Tax Credit Fund, Inc","$2,100,000.00 ",Mobile,AL,36610,Business Financing,NRE,NO,NO
AL0010,79,1097001200,Metropolitan,2008,"National New Markets Tax Credit Fund, Inc","$1,400,000.00 ",Mobile,AL,36602,Business Financing,NRE,NO,NO
AL0011,80,1097006301,Metropolitan,2008,"HFHI-SA NMTC I, LLC","$4,033,024.00 ",Grand Bay,AL,36541,Real Estate – Construction–Housing-Single Family,RE,NO,NO
AL0012,81,1059973500,Non-Metropolitan,2003,"Eclypse Development Partners I, LLC","$5,000,000.00 ",Red Bay,AL,35582,Business Financing,NRE,NO,NO
AL0013,82,1097007300,Metropolitan,2011,"AMCREF Community Capital, LLC","$8,407,709.00 ",Bayou Labatre,AL,36509,Business Financing,NRE,NO,NO
AL0014,83,1073004000,Metropolitan,2011,"Empowerment Reinvestment Fund, LLC","$7,270,000.00 ",Birmingham,AL,35211,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,NRE,YES,NO
AL0014,84,1073004000,Metropolitan,2011,"Empowerment Reinvestment Fund, LLC","$2,330,000.00 ",Birmingham,AL,35211,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,NRE,YES,NO
AL0014,85,1073004000,Metropolitan,2011,"Wells Fargo Community Development Enterprises, Inc.","$3,635,000.00 ",Birmingham,AL,35211,Business Financing,NRE,YES,NO
AL0014,86,1073004000,Metropolitan,2011,"Wells Fargo Community Development Enterprises, Inc.","$1,365,000.00 ",Birmingham,AL,35211,Business Financing,NRE,YES,NO
AL0015,87,1107050400,Non-Metropolitan,2012,"WNC National Community Development Advisors, LLC","$4,294,800.00 ",Aliceville,AL,35442,Business Financing,NRE,YES,NO
AL0015,88,1107050400,Non-Metropolitan,2012,"WNC National Community Development Advisors, LLC","$1,525,200.00 ",Aliceville,AL,35442,Business Financing,NRE,YES,NO
AL0015,89,1107050400,Non-Metropolitan,2012,Rural Development Partners LLC,"$15,307,600.00 ",Aliceville,AL,35442,Business Financing,NRE,YES,NO
AL0015,90,1107050400,Non-Metropolitan,2012,Rural Development Partners LLC,"$5,702,400.00 ",Aliceville,AL,35442,Business Financing,NRE,YES,NO
AL0015,91,1107050400,Non-Metropolitan,2012,CEI Capital Management LLC,"$13,916,000.00 ",Aliceville,AL,35442,Business Financing,NRE,YES,NO
AL0015,92,1107050400,Non-Metropolitan,2012,CEI Capital Management LLC,"$5,484,000.00 ",Aliceville,AL,35442,Business Financing,NRE,YES,NO
AL0015,93,1107050400,Non-Metropolitan,2012,"Wells Fargo Community Development Enterprises, Inc.","$2,845,600.00 ",Aliceville,AL,35442,Business Financing,NRE,YES,NO
AL0015,94,1107050400,Non-Metropolitan,2012,"Wells Fargo Community Development Enterprises, Inc.","$1,154,400.00 ",Aliceville,AL,35442,Business Financing,NRE,YES,NO
AL0015,95,1107050400,Non-Metropolitan,2012,"Wells Fargo Community Development Enterprises, Inc.","$1,010,100.00 ",Aliceville,AL,35442,Business Financing,NRE,YES,NO
AL0015,96,1107050400,Non-Metropolitan,2012,"Wells Fargo Community Development Enterprises, Inc.","$2,489,900.00 ",Aliceville,AL,35442,Business Financing,NRE,YES,NO
AL0016,97,1101001600,Metropolitan,2012,"USBCDE, LLC","$3,500,000.00 ",Montgomery,AL,36107,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,NRE,YES,NO
AL0016,98,1101001600,Metropolitan,2012,Community Hospitality Healthcare Services LLC,"$13,531,500.00 ",Montgomery,AL,36107,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,YES,NO
AL0017,99,1097000200,Metropolitan,2005,Liberty Bank and Trust Company,"$14,000,000.00 ",Mobile,AL,36602,Business Financing,NRE,NO,NO
AL0018,101,1013953200,Non-Metropolitan,2013,"River Gorge Capital, LLC","$4,500,000.00 ",goodman,MS,39079,Business Financing,NRE,YES,NO
AL0018,100,1065040300,Metropolitan,2013,Boston Community Capital Inc.,"$3,201,500.00 ",Marion,AL,36756,Business Financing,NRE,YES,NO
AL0019,102,1089003000,Metropolitan,2013,"Stonehenge Community Development, LLC","$2,500,000.00 ",Huntsville,AL,35801,Business Financing,NRE,YES,NO
AL0019,103,1089003000,Metropolitan,2013,"Stonehenge Community Development, LLC","$2,930,750.00 ",Huntsville,AL,35801,Business Financing,NRE,YES,NO
AL0019,104,1089003000,Metropolitan,2013,"Stonehenge Community Development, LLC","$2,069,250.00 ",Huntsville,AL,35801,Business Financing,NRE,YES,NO
AL0019,105,1089003000,Metropolitan,2013,"MuniStrategies, LLC","$4,169,600.00 ",Huntsville,AL,35801,Business Financing,NRE,YES,NO
AL0019,106,1089003000,Metropolitan,2013,"MuniStrategies, LLC","$1,830,400.00 ",Huntsville,AL,35801,Business Financing,NRE,YES,NO
AL0020,107,1127021000,Metropolitan,2013,"Urban Development Fund, LLC","$5,857,560.15 ",Nauvoo,AL,35578,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,NRE,NO,NO
AL0020,108,1127021000,Metropolitan,2013,"Urban Development Fund, LLC","$2,101,806.00 ",Nauvoo,AL,35578,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,NRE,NO,NO
AL0020,109,1127021000,Metropolitan,2013,"Urban Development Fund, LLC","$1,183,491.00 ",Nauvoo,AL,35578,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,NRE,NO,NO
AL0021,110,1047956100,Non-Metropolitan,2013,"AMCREF Community Capital, LLC","$7,868,032.00 ",Selma,AL,36703,Business Financing,NRE,NO,NO
AL0021,111,1047956100,Non-Metropolitan,2013,"AMCREF Community Capital, LLC","$3,518,468.00 ",Selma,AL,36703,Business Financing,NRE,NO,NO
AL0023,112,1121011200,Non-Metropolitan,2013,"Advantage Capital Community Development Fund, LLC","$721,500.00 ",Childersburg,AL,35044,Business Financing,NRE,NO,NO
AL0023,113,1121011200,Non-Metropolitan,2013,"Advantage Capital Community Development Fund, LLC","$505,050.00 ",Childersburg,AL,35044,Business Financing,NRE,NO,NO
AL0024,115,1069041500,Metropolitan,2013,"Advantage Capital Community Development Fund, LLC","$839,000.00 ",Dothan,AL,36303,Business Financing,NRE,NO,NO
AL0024,114,1069041500,Metropolitan,2014,"Advantage Capital Community Development Fund, LLC","$839,000.00 ",Dothan,AL,36303,Business Financing,NRE,NO,NO
AL0025,116,1097000800,Metropolitan,2013,"Urban Development Fund, LLC","$5,943,167.14 ",Mobile,AL,36617,Real Estate–Rehabilitation–Commercial,RE,NO,NO
AL0025,117,1097000800,Metropolitan,2013,"Urban Development Fund, LLC","$2,101,806.00 ",Mobile,AL,36617,Real Estate–Rehabilitation–Commercial,RE,NO,NO
AL0025,118,1097000800,Metropolitan,2013,"Urban Development Fund, LLC","$1,097,884.00 ",Mobile,AL,36617,Real Estate–Rehabilitation–Commercial,RE,NO,NO
AL0026,119,1097000200,Metropolitan,2013,"SOUTHERN COMMUNITY CAPITAL, LLC","$5,277,000.00 ",Mobile,AL,36603,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,NO,NO
AL0026,120,1097000200,Metropolitan,2013,"SOUTHERN COMMUNITY CAPITAL, LLC","$1,998,000.00 ",Mobile,AL,36603,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,NO,NO
AL0027,121,1125011600,Metropolitan,2013,"Advantage Capital Community Development Fund, LLC","$8,000,000.00 ",Tuscaloosa,AL,35401,Business Financing,NRE,NO,NO
AL0028,122,1089000201,Metropolitan,2013,"Urban Development Fund, LLC","$5,807,126.14 ",Huntsville,AL,35811,Business Financing,NRE,NO,NO
AL0028,123,1089000201,Metropolitan,2013,"Urban Development Fund, LLC","$2,101,806.00 ",Huntsville,AL,35811,Business Financing,NRE,NO,NO
AL0028,124,1089000201,Metropolitan,2013,"Urban Development Fund, LLC","$1,233,925.00 ",Huntsville,AL,35811,Business Financing,NRE,NO,NO
AL0029,125,1073002400,Metropolitan,2013,"Advantage Capital Community Development Fund, LLC","$3,000,000.00 ",Birmingham,AL,35222,Business Financing,NRE,NO,NO
AL0030,126,1031011000,Non-Metropolitan,2013,"Stonehenge Community Development, LLC","$291,757.00 ",Enterprise,AL,36330,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,NRE,YES,NO
AL0030,127,1031011000,Non-Metropolitan,2013,"Stonehenge Community Development, LLC","$851,100.00 ",Enterprise,AL,36330,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,NRE,YES,NO
AL0030,128,1031011000,Non-Metropolitan,2013,"Stonehenge Community Development, LLC","$1,857,143.00 ",Enterprise,AL,36330,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,NRE,YES,NO
AL0030,131,1031011000,Non-Metropolitan,2013,"MuniStrategies, LLC","$4,571,429.00 ",Enterprise,AL,36330,Business Financing,NRE,YES,NO
AL0030,132,1031011000,Non-Metropolitan,2013,"MuniStrategies, LLC","$4,428,571.00 ",Enterprise,AL,36330,Business Financing,NRE,YES,NO
AL0030,129,1031011000,Non-Metropolitan,2014,"PNC Community Partners, Inc.","$2,736,400.00 ",Enterprise,AL,36330,Business Financing,NRE,YES,NO
AL0030,130,1031011000,Non-Metropolitan,2014,"PNC Community Partners, Inc.","$1,263,600.00 ",Enterprise,AL,36330,Business Financing,NRE,YES,NO
AL0031,133,1003011501,Metropolitan,2013,"Hampton Roads Ventures, LLC","$12,125,000.00 ",Foley,AL,36535,Business Financing,NRE,YES,NO
AL0031,134,1003011501,Metropolitan,2013,"MuniStrategies, LLC","$7,500,000.00 ",Foley,AL,36535,Business Financing,NRE,YES,NO
AL0031,135,1003011501,Metropolitan,2013,"MuniStrategies, LLC","$2,000,000.00 ",Foley,AL,36535,Business Financing,NRE,YES,NO
AL0031,136,1003011501,Metropolitan,2013,"MuniStrategies, LLC","$400,000.00 ",Foley,AL,36535,Business Financing,NRE,YES,NO
AL0032,137,1081040901,Metropolitan,2013,"Dakotas America, LLC","$4,867,000.00 ",Auburn,AL,36832,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,NO,NO
AL0032,138,1081040901,Metropolitan,2013,"Dakotas America, LLC","$2,854,000.00 ",Auburn,AL,36832,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,NO,NO
AL0032,139,1081040901,Metropolitan,2013,"Dakotas America, LLC","$2,279,000.00 ",Auburn,AL,36832,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,NO,NO
AL0033,140,1053970500,Non-Metropolitan,2013,"Advantage Capital Community Development Fund, LLC","$2,354,333.10 ",Atmore,AL,36502,Business Financing,NRE,NO,NO
AL0033,141,1053970500,Non-Metropolitan,2013,"Advantage Capital Community Development Fund, LLC","$3,923,888.50 ",Atmore,AL,36502,Business Financing,NRE,NO,NO
AL0034,142,1015000500,Metropolitan,2014,"Advantage Capital Community Development Fund, LLC","$2,291,000.00 ",Anniston,AL,36201,Business Financing,NRE,NO,NO
AL0035,143,1097001200,Metropolitan,2014,"Whitney New Markets Fund, LLC","$3,725,000.00 ",Mobile,AL,36602,Business Financing,RE,NO,NO
AL0035,144,1097001200,Metropolitan,2014,"Whitney New Markets Fund, LLC","$1,275,000.00 ",Mobile,AL,36602,Business Financing,RE,NO,NO
AR0001,145,5095950100,Non-Metropolitan,2005,Hope Enterprise Corporation,"$100,000.00 ",Brinkley,AR,72021,Business Financing,NRE,NO,NO
AR0002,146,5095950300,Non-Metropolitan,2005,Hope Enterprise Corporation,"$331,773.00 ",Brinkley,AR,72021,Business Financing,NRE,NO,NO
AR0002,147,5095950300,Non-Metropolitan,2005,Hope Enterprise Corporation,"$122,609.00 ",Brinkley,AR,72021,Business Financing,NRE,NO,NO
AR0003,148,5141460200,Non-Metropolitan,2005,"Heartland Renaissance Fund, LLC","$1,500,000.00 ",CLINTON,AR,72031,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,NO,NO
AR0004,149,5041950200,Non-Metropolitan,2005,Hope Enterprise Corporation,"$200,000.00 ",Dumas,AR,71639,Business Financing,NRE,NO,NO
AR0005,150,5041950200,Non-Metropolitan,2006,Hope Enterprise Corporation,"$1,690,383.00 ",Dumas,AR,71639,Business Financing,NRE,NO,NO
AR0005,151,5041950200,Non-Metropolitan,2008,Hope Enterprise Corporation,"$650,000.00 ",Dumas,AR,71639,Business Financing,NRE,NO,NO
AR0005,152,5041950200,Non-Metropolitan,2010,Hope Enterprise Corporation,"$712,753.80 ",Dumas,AR,71639,Business Financing,NRE,NO,NO
AR0006,153,5143011300,Metropolitan,2005,"Heartland Renaissance Fund, LLC","$3,943,527.94 ",FAYETTEVILLE,AR,72701,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,NO,NO
AR0007,154,5143011101,Metropolitan,2006,"Heartland Renaissance Fund, LLC","$2,000,000.00 ",FAYETTEVILLE,AR,72702,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,NRE,NO,NO
AR0007,155,5143011101,Metropolitan,2006,"Heartland Renaissance Fund, LLC","$3,859,000.00 ",FAYETTEVILLE,AR,72702,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,NRE,NO,NO
AR0008,156,5143011101,Metropolitan,2009,"Urban Research Park CDE, LLC","$7,936,500.00 ",Fayetteville,AR,72701,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,NO,NO
AR0008,157,5143011101,Metropolitan,2009,"Urban Research Park CDE, LLC","$1,820,000.00 ",Fayetteville,AR,72701,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,NO,NO
AR0008,158,5143011101,Metropolitan,2009,"Urban Research Park CDE, LLC","$2,243,500.00 ",Fayetteville,AR,72701,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,NO,NO
AR0009,159,5051011602,Metropolitan,2007,Hope Enterprise Corporation,"$433,290.00 ",Hot Springs,AR,71901,Business Financing,NRE,NO,NO
AR0009,160,5051011602,Metropolitan,2007,Hope Enterprise Corporation,"$233,310.00 ",Hot Springs,AR,71901,Business Financing,NRE,NO,NO
