Company,Parent Company,Location,City,County,Address,Zip,Project Description,NAICS Industry Code,Year,Subsidy Value,Megadeal Contribution,Subsidy Value Adjusted For Megadeal,Program Name,Awarding Agency,Type of Subsidy,Number of Jobs or Training Slots,Wage Data,Wage Data Type,Investment Data,Source of Data,Notes,Subsidy Source,CFDA Program Number,Loan Value,State in Which Facility Is Located,Major Industry of Parent
Carousel Center Facility/DestiNY USA,Pyramid Companies,New York,SYRACUSE,,4 Clinton Square,13202,,,2007,"$3,257,334 ",$0 ,"$3,257,334 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,0,,,"$325,733,352 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," ""real estate"""
Carousel Center Facility,Pyramid Companies,New York,Syracuse,Onondaga,Clinton Exchange 4 Clinton Square,13202,,,2006,"$3,102,351 ",$0 ,"$3,102,351 ",Industrial Development Agencies,Syracuse IDA,tax credit/rebate; property tax abatement,3434,,,"$680,000,000 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," ""real estate"""
Specialists One Day Surgery facility,,New York,SYRACUSE,,5719 Widewaters Parkway,13214,Services,,2014,"$3,009,969 ",$0 ,"$3,009,969 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate,,,,,http://osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
"PIONEER MIDLER AVENUE, LLC",,New York,Syracuse,Onondaga,621 South Midler Avenue,, C734103 Midler City Industrial Park ,,2007,"$2,353,294 ",$0 ,"$2,353,294 ",Brownfield Cleanup Program Tax Credit,Department of Taxation and Finance,tax credit/rebate,,,,"$23,532,939 ",http://www.tax.ny.gov/research/stats/statistics/special_interest_reports/brownfield_credit/brownfield_credit_reports.htm,subsidy value is amount claimed; investment amount is actual,state,,$0 , ," """""
Fulton Hydros (Brascan Power),,New York,Syracuse,,300 Erie Blvd. East,13202,,,2007,"$2,012,330 ",$0 ,"$2,012,330 ",Industrial Development Agencies,Oswego Co. IDA,tax credit/rebate; property tax abatement,6,,,,unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
Orion-Fulton Hydros,,New York,Syracuse,Oswego,300 Erie Blvd. East,13202,,,2004,"$1,950,510 ",$0 ,"$1,950,510 ",Industrial Development Agencies,Oswego Co. IDA,tax credit/rebate; property tax abatement,6,,,,unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
Fulton Hydros (Brascan Power),,New York,Syracuse,Oswego,300 Erie Blvd. East,13202,,,2005,"$1,948,903 ",$0 ,"$1,948,903 ",Industrial Development Agencies,Oswego Co. IDA,tax credit/rebate; property tax abatement,6,,,,unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
Fulton Hydros (Brascan Power),,New York,Syracuse,Oswego,300 Erie Blvd. East,13202,,,2006,"$1,948,903 ",$0 ,"$1,948,903 ",Industrial Development Agencies,Oswego Co. IDA,tax credit/rebate; property tax abatement,14,,,,unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
Carousel Center Facility/DestiNY USA,Pyramid Companies,New York,SYRACUSE,,4 Clinton Square,13202,Expand and improve shopping mall. Salary information not gathered on this project.,,2010,"$1,834,581 ",$0 ,"$1,834,581 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. ,local,,$0 , ," ""real estate"""
Orion-Fulton Hydros,,New York,Syracuse,Oswego,300 Erie Blvd. East,13202,,,2003,"$1,620,408 ",$0 ,"$1,620,408 ",Industrial Development Agencies,Oswego Co. IDA,tax credit/rebate; property tax abatement,12,,,,unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
Carousel Center Facility/DestiNY USA,Pyramid Companies,New York,SYRACUSE,,4 Clinton Square,13202,Expand and improve shopping mall. Salary information not gathered on this project.,,2011,"$1,272,937 ",$0 ,"$1,272,937 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. ,local,,$0 , ," ""real estate"""
AXA-MONY SYRACUSE,AXA,New York,Syracuse,,100-120 Madison Street,13202,AXA EQUITABLE CAPITAL,,2010,"$1,250,000 ",$0 ,"$1,250,000 ",Jobs Now,Empire State Development,grant,587,,,,direct from agency; not on web,Year is year subsidy was approved. Subsidy value is amount of grant or loan. Jobs figure is number of jobs created. ,state,,$0 , ," ""financial services"""
Project Orange Co-Generation Facility,,New York,Syracuse,,,,,,2008,"$905,794 ",$0 ,"$905,794 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,50,,,"$205,000,000 ",spreadsheet posted by Office of the State Comptroller at http://www.osc.state.ny.us/localgov/pubs/research/idaprojects2008.xls,subsidy value is amount awarded; jobs and investment figures are projected,local,,$0 , ," """""
"EDR Syracuse, LLC",,New York,SYRACUSE,,East Colvin and Slocum Drive,13244,Project will make PILOT payments over 47.5 years on property that would otherwise be tax exempt. Salary information not gathered on this project.,,2011,"$828,287 ",$0 ,"$828,287 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. ,local,,$0 , ," """""
Washington/Walton Project,,New York,SYRACUSE,,200 South Franklin St,13202,Salary dollar information was not accumulated on this project. Project is still under construction on 12/31/2009.,,2010,"$808,801 ",$0 ,"$808,801 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. ,local,,$0 , ," """""
Continental Towers Facility,,New York,Syracuse,Onondaga,c/o Green & Seifter 1 Lincoln Center,13202,,,2004,"$790,547 ",$0 ,"$790,547 ",Industrial Development Agencies,Syracuse IDA,tax credit/rebate; property tax abatement,2500,,,"$63,950,000 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
"EDR Syracuse, LLC",,New York,SYRACUSE,,East Colvin and Slocum Drive,13244,Project will make PILOT payments over 47.5 years on property that would otherwise be tax exempt. Salary information not gathered on this project.,,2010,"$705,099 ",$0 ,"$705,099 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. ,local,,$0 , ," """""
"Lowe's Home Centers, Inc.",Lowe's,New York,Syracuse,Onondaga,621 South Midler Avenue,,C734103 Midler City Industrial Park,,2007,"$670,150 ",$0 ,"$670,150 ",Brownfield Cleanup Program Tax Credit,Department of Taxation and Finance,tax credit/rebate,,,,"$5,584,583 ",http://www.tax.ny.gov/research/stats/statistics/special_interest_reports/brownfield_credit/brownfield_credit_reports.htm,subsidy value is amount claimed; investment amount is actual,state,,$0 , ," ""retailing"""
Carousel Center Facility/DestiNY USA,Pyramid Companies,New York,SYRACUSE,,"Pyramid Company of Onondaga, Inc.",13202,Expand and improve shopping mall. Salary information not gathered on this project.,,2009,"$663,256 ",$0 ,"$663,256 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,3227,,,"$785,000,000 ",http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs number is total of estimated created and estimated retained (including construction jobs).,local,,$0 , ," ""real estate"""
The inns at Armory Square,,New York,SYRACUSE,,330-335 West Fayette St.,13202,"Finance, Insurance and Real Estate",,2014,"$603,397 ",$0 ,"$603,397 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate,,,,,http://osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
EDR Campus West LLC,,New York,SYRACUSE,,125 Henry St. & East Raynor Ave,13210,Civic Facility,,2014,"$598,717 ",$0 ,"$598,717 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate,,,,,http://osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
"Maple Heights Development Company, LLC",,New York,Syracuse,,,,,,2008,"$579,412 ",$0 ,"$579,412 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,2,,,"$15,200,000 ",spreadsheet posted by Office of the State Comptroller at http://www.osc.state.ny.us/localgov/pubs/research/idaprojects2008.xls,subsidy value is amount awarded; jobs and investment figures are projected,local,,$0 , ," """""
EDR Campus West LLC,,New York,SYRACUSE,,125 Henry St. & East Raynor Ave,13210,"Project located at 125 Henry St and East Raynor Avenue.  Includes acquisition of a leasehold interest approx. 1.7 acres of real property, demolition of an existing parking lot, construction of a 171,741 sq. ft. building to provide housing for Syracuse University students and a small convenience store for the benefit of the students.    Agency will provide assistance in the form of sales, mortgage tax exemptions and a PILOT agreement.Salary information not provided by project owner,",,2013,"$575,115 ",$0 ,"$575,115 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
The Onondaga Galleries Limited Liability Company,,New York,Syracuse,,,,,,2008,"$568,484 ",$0 ,"$568,484 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,15,,,"$10,500,000 ",spreadsheet posted by Office of the State Comptroller at http://www.osc.state.ny.us/localgov/pubs/research/idaprojects2008.xls,subsidy value is amount awarded; jobs and investment figures are projected,local,,$0 , ," """""
Jewish Home of Central New York Facility,,New York,Syracuse,Onondaga,4101 East Genesee Street,13214,,,2005,"$560,656 ",$0 ,"$560,656 ",Industrial Development Agencies,Syracuse IDA,tax credit/rebate; property tax abatement,172,,,"$20,000,000 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
Hotel Syracuse Facility,,New York,Syracuse,Onondaga,500 South Warren Street,13202,,,2003,"$558,016 ",$0 ,"$558,016 ",Industrial Development Agencies,Syracuse IDA,tax credit/rebate; property tax abatement,414,,,"$13,650,000 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
Jewish Home of Central New York Facility,,New York,Syracuse,Onondaga,4101 East Genesee Street,13214,,,2006,"$545,401 ",$0 ,"$545,401 ",Industrial Development Agencies,Syracuse IDA,tax credit/rebate; property tax abatement,357,,,"$20,000,000 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
Continental Towers Facility,,New York,Syracuse,Onondaga,c/o Green & Seifter 1 Lincoln Center,13202,,,2003,"$528,964 ",$0 ,"$528,964 ",Industrial Development Agencies,Syracuse IDA,tax credit/rebate; property tax abatement,4000,,,"$63,950,000 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
Jewish Home of Centerl New York Facility,,New York,SYRACUSE,,4101 East Genesee Street,13214,,,2007,"$506,476 ",$0 ,"$506,476 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,185,,,"$20,000,000 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
Jewish Home of Centerl New York Facility,,New York,Syracuse,,,,,,2008,"$493,551 ",$0 ,"$493,551 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,185,,,"$20,000,000 ",spreadsheet posted by Office of the State Comptroller at http://www.osc.state.ny.us/localgov/pubs/research/idaprojects2008.xls,subsidy value is amount awarded; jobs and investment figures are projected,local,,$0 , ," """""
Jewish Home of Centerl New York Facility,,New York,SYRACUSE,,4101 East Genesee Street,13214,4015 Genesee St E to City Line. Improve facility. Salary information not gathered on this project.,,2011,"$486,688 ",$0 ,"$486,688 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. ,local,,$0 , ," """""
Jewish Home of Centerl New York Facility,,New York,SYRACUSE,,4101 East Genesee Street,13214,4015 Genesee St E to City Line. Improve facility. Salary information not gathered on this project.,,2010,"$473,195 ",$0 ,"$473,195 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. ,local,,$0 , ," """""
Jewish Home of Centerl New York Facility,,New York,SYRACUSE,,"Jewish Home of Central New York, Inc.",13214,Improve facility. Salary information not gathered on this project.,,2009,"$469,460 ",$0 ,"$469,460 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,68,,,"$20,000,000 ",http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs number is total of estimated created and estimated retained (including construction jobs).,local,,$0 , ," """""
Jewish Home of Centerl New York Facility,,New York,SYRACUSE,,4101 East Genesee Street,13214,4015 Genesee St E to City Line.  Improve facility.  Salary information not gathered on this project.,,2013,"$468,220 ",$0 ,"$468,220 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
Jewish Home of Centerl New York Facility,,New York,SYRACUSE,,4101 East Genesee Street,13214,Services,,2014,"$464,910 ",$0 ,"$464,910 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate,,,,,http://osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
"EDR Syracuse, LLC",,New York,SYRACUSE,,East Colvin and Slocum Drive,13244,Project will make PILOT payments over 47.5 years on property that would otherwise be tax exempt.  Salary information not gathered on this project.,,2013,"$461,605 ",$0 ,"$461,605 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
WILSU Project,,New York,SYRACUSE,,401 Comstock Avenue,13210,Salary dollar information not accumulated on this project. Project was still under construction aas of 12/31/2009.,,2010,"$453,984 ",$0 ,"$453,984 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. ,local,,$0 , ," """""
The Bank of New York Mellon Corporation,Bank of New York Mellon,New York,Syracuse,,401 SOUTH SALINA ST.,13202,BANK OF NEW YORK MELLON CAPITAL,,2008,"$437,500 ",$0 ,"$437,500 ",Jobs Now,Empire State Development,grant,350,,,,direct from agency; not on web,Year is year subsidy was approved. Subsidy value is amount of grant or loan. Jobs figure is number of jobs created. ,state,,$0 , ," ""financial services"""
Syracuse Rail Support/OnTrack,,New York,SYRACUSE,,Railroad,13202,Railway project from Carousel Mall to Syracuse University.,,2012,"$434,095 ",$0 ,"$434,095 ",Industrial Development Agencies,Onondaga County Industrial Development Agency,tax credit/rebate; property tax abatement,created: 10; retained: 0,salary created: 0; salary retained: 0,estimated salary,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs and wages are estimates.,local,,$0 , ," """""
Syracuse Rail Support/OnTrack,,New York,SYRACUSE,,Railroad,13202,Railway project from Carousel Mall to Syracuse University.,,2010,"$430,228 ",$0 ,"$430,228 ",Industrial Development Agencies,Onondaga County Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. ,local,,$0 , ," """""
Jewish Home of Centerl New York Facility,,New York,SYRACUSE,,4101 East Genesee Street,13214,4015 Genesee St E to City Line.  Improve facility.  Salary information not gathered on this project.,,2012,"$425,430 ",$0 ,"$425,430 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,created: 0; retained: 185,salary created: 0; salary retained: 0,estimated salary,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs and wages are estimates.,local,,$0 , ," """""
Syracuse Rail Support/OnTrack,,New York,SYRACUSE,,Railroad,13202,"Transportation, Communication, Electric, Gas and Sanitary Services",,2014,"$422,395 ",$0 ,"$422,395 ",Industrial Development Agencies,Onondaga County Industrial Development Agency,tax credit/rebate,,,,,http://osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
