DATA_ID,NAME,TYPE,SUBTYPE1,SUBTYPE2,SUBTYPE3,RATING,REVIEWS,PRICE_HIGH,PRICE_LOW,ADDRESS,STREET,CITY,STATE,ZIPCODE,LATITUDE,LONGITUDE,TELEPHONE,WEBSITE,RESERVATIONS,DELIVERY,TAKEOUT,ACCEPTS_CREDIT,ACCEPTS_APPLE_PAY,ACCEPTS_ANDROID_PAY,ACCEPTS_BITCOIN,GOOD_FOR,PARKING,BIKE_PARKING,WHEELCHAIR_ACCESSIBLE,GOOD_FOR_KIDS,GOOD_FOR_GROUPS,ATTIRE,AMBIENCE,NOISE_LEVEL,ALCOHOL,OUTDOOR_SEATING,WIFI,HAS_TV,WAITER_SERVICE,CATERS,COAT_CHECK,DOGS_ALLOWED,HAS_POOL_TABLE,GOOD_FOR_DANCING,HAPPY_HOUR,BEST_NIGHTS,SMOKING,GOOD_FOR_WORKING,GENDER_NEUTRAL_RESTROOM,MUSIC,MILITARY_DISCOUNT,DRIVE_THRU,MON_OPEN,MON_CLOSE,TUE_OPEN,TUE_CLOSE,WED_OPEN,WED_CLOSE,THU_OPEN,THU_CLOSE,FRI_OPEN,FRI_CLOSE,SAT_OPEN,SAT_CLOSE,SUN_OPEN,SUN_CLOSE,RATING_5,RATING_4,RATING_3,RATING_2,RATING_1
11,Aloha Japanese Bento Express,Restaurant,Japanese,Hawaiian,Burmese,4.351851852,54,10,0,"217 S Salina St\nSte 3, Syracuse, NY 13202",217 S Salina St\nSte 3,Syracuse,NY,13202,43.0489373,-76.1519409,13158027384,alohajapanesebentoexpress.com,No,Yes,Yes,Yes,No,,,Lunch,Street,Yes,Yes,Yes,No,Casual,Casual,Quiet,No,No,Free,No,No,No,,,,,,,,,,,,,11:00 AM,8:30 PM,11:00 AM,8:30 PM,11:00 AM,8:30 PM,11:00 AM,8:30 PM,11:00 AM,8:30 PM,12:00 PM,8:00 PM,12:00 PM,8:00 PM,31,15,5,2,1
12,Lemon Grass,Restaurant,Thai,Steakhouses,,3.839694656,131,60,31,"238 W Jefferson St, Syracuse, NY 13202",238 W Jefferson St,Syracuse,NY,13202,43.0476679,-76.1544006,13154751111,lemongrasscny.com,Yes,No,Yes,Yes,,,,Dinner,Street,Yes,Yes,No,Yes,Dressy,Classy,Average,Full Bar,Yes,No,No,Yes,No,,,,,,,,,,,,,11:30 AM,2:30 PM,11:30 AM,2:30 PM,11:30 AM,2:30 PM,11:30 AM,2:30 PM,11:30 AM,2:30 PM,11:30 AM,2:30 PM,4:30 PM,9:00 PM,53,37,15,19,7
13,Mother's Cupboard Fish Fry & Diner,Restaurant,Diners,,,4.326923077,156,10,0,"3709 James St, Syracuse, NY 13206",3709 James St,Syracuse,NY,13206,43.069787,-76.092294,13154320942,,No,No,Yes,No,No,No,,"Breakfast, Brunch",Private Lot,Yes,Yes,Yes,No,Casual,Casual,Average,No,No,No,No,Yes,No,,,,,,,,,,,,,6:00 AM,1:30 PM,6:00 AM,1:30 PM,6:00 AM,1:30 PM,6:00 AM,1:30 PM,6:00 AM,1:30 PM,6:00 AM,1:30 PM,6:00 AM,1:30 PM,82,56,10,3,5
14,Joey's Classic Italian Dining,Restaurant,Italian,,,3.96875,96,30,11,"6594 Thompson Rd, Syracuse, NY 13206",6594 Thompson Rd,Syracuse,NY,13206,43.090556,-76.092046,13154320315,joeysitalianrestaurant.com,Yes,No,Yes,Yes,,,,Dinner,Private Lot,Yes,No,Yes,Yes,Casual,,Quiet,Full Bar,No,No,No,Yes,Yes,,,,,,,,,,,,,11:30 AM,10:00 PM,11:30 AM,10:00 PM,11:30 AM,10:00 PM,11:30 AM,10:00 PM,11:30 AM,11:00 PM,5:00 PM,11:00 PM,4:00 PM,9:00 PM,43,29,11,4,9
15,Bite Of Chongqing,Restaurant,Chinese,,,4.266666667,15,30,11,"656 North Salina St, Syracuse, NY 13208",656 North Salina St,Syracuse,NY,13208,43.060419,-76.1527333,13157066023,,No,Yes,Yes,Yes,,,,,,,,Yes,No,Casual,,,,No,Free,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,1,0,2
16,Riley's,Restaurant,Bars,American (Traditional),,4.220930233,86,30,11,"312 Park St, Syracuse, NY 13203",312 Park St,Syracuse,NY,13203,43.0632032,-76.1372144,13154717111,,Yes,No,Yes,Yes,,,,Dinner,Street,No,Yes,No,Yes,Casual,Casual,Average,Full Bar,No,No,Yes,Yes,,No,,No,No,Yes,"Wed, Thu, Fri",No,,,,,,11:30 AM,9:00 PM,11:30 AM,9:00 PM,11:30 AM,10:00 PM,11:30 AM,10:00 PM,11:30 AM,10:00 PM,11:30 AM,10:00 PM,,,39,31,12,4,0
17,The Chop House on Waring,Restaurant,Steakhouses,Seafood,American (Traditional),4.04,25,60,31,"200 Waring Rd, Syracuse, NY 13224",200 Waring Rd,Syracuse,NY,13224,43.0229998,-76.1006182,13154451976,thechophouseonwaring.com/web,Yes,No,Yes,Yes,,,,,Private Lot,Yes,Yes,Yes,Yes,Casual,,Average,Full Bar,Yes,Free,Yes,Yes,Yes,,No,,,,,,,,,,,,,4:30 PM,10:00 PM,4:30 PM,10:00 PM,4:30 PM,10:00 PM,4:30 PM,11:00 PM,4:30 PM,11:00 PM,11:00 AM,3:00 PM,13,6,2,2,2
18,Bistro Elephant Steakhouse,Restaurant,Steakhouses,,,3.970588235,34,60,31,"238 W Jefferson St, Syracuse, NY 13202",238 W Jefferson St,Syracuse,NY,13202,43.0476679,-76.1544006,13154751111,bistroelephant.com,Yes,No,No,Yes,,,,Dinner,,Yes,,No,Yes,Dressy,Classy,Quiet,Full Bar,Yes,No,Yes,Yes,,,,,,,,,,,,,,5:00 PM,12:00 AM,5:00 PM,12:00 AM,5:00 PM,12:00 AM,5:00 PM,12:00 AM,5:00 PM,12:00 AM,5:00 PM,12:00 AM,,,16,9,4,2,3
19,Eva's European Sweets,Restaurant,Polish,Coffee & Tea,,4.785714286,98,30,11,"1305 Milton Ave, Syracuse, NY 13204",1305 Milton Ave,Syracuse,NY,13204,43.0596117,-76.199611,13154872722,evaspolish.com,Yes,No,Yes,Yes,No,,,"Lunch, Dinner",Street,Yes,No,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,Free,No,Yes,Yes,,,,,,,,No,,,,,,,11:00 AM,8:00 PM,11:00 AM,8:00 PM,11:00 AM,8:00 PM,11:00 AM,9:00 PM,12:00 PM,9:00 PM,,,77,21,0,0,0
20,Dark Horse Tavern,Restaurant,American (Traditional),,,4.120481928,83,30,11,"4312 E Genesee St, Syracuse, NY 13214",4312 E Genesee St,Syracuse,NY,13214,43.0350445,-76.0687401,13154463180,,No,No,Yes,Yes,,,,Dinner,Private Lot,Yes,No,No,No,Casual,Casual,Loud,Full Bar,No,No,Yes,Yes,No,,,,,,,,,,,,,11:30 AM,1:00 AM,11:30 AM,1:00 AM,11:30 AM,2:00 AM,11:30 AM,2:00 AM,11:30 AM,2:00 AM,11:30 AM,2:00 AM,4:00 PM,2:00 AM,36,27,15,4,1
21,Strada Mia,Restaurant,Italian,Seafood,,4.060606061,33,30,11,"313 N Geddes St, Syracuse, NY 13204",313 N Geddes St,Syracuse,NY,13204,43.05194831,-76.17093959,13158835995,stradamia313.com,Yes,No,Yes,Yes,,,,Dinner,Private Lot,No,,No,Yes,Casual,Classy,Average,Full Bar,Yes,,Yes,Yes,,,,,,,,,,,,,,11:30 AM,10:00 PM,11:30 AM,10:00 PM,11:30 AM,10:00 PM,11:30 AM,10:00 PM,11:30 AM,12:00 AM,11:30 AM,12:00 AM,,,16,10,3,1,3
22,Modern Malt,Restaurant,American (New),Breakfast & Brunch,Bakeries,3.653543307,254,30,11,"325 S Clinton St, Syracuse, NY 13202",325 S Clinton St,Syracuse,NY,13202,43.0481317,-76.1533469,13154716258,eatdrinkmalt.com,No,No,Yes,Yes,No,,,"Breakfast, Brunch, Lunch",Street,Yes,Yes,Yes,Yes,Casual,"Hipster, Casual, Trendy",Average,Full Bar,Yes,Free,Yes,Yes,Yes,,,,,,,,,,,,,7:00 AM,10:00 PM,7:00 AM,10:00 PM,7:00 AM,10:00 PM,7:00 AM,12:00 AM,7:00 AM,12:00 AM,8:00 AM,12:00 AM,8:00 AM,4:00 PM,83,76,34,46,15
23,Flame,Restaurant,Pizza,Tapas/Small Plates,,4.186046512,43,30,11,"713 E Fayette St, Syracuse, NY 13210",713 E Fayette St,Syracuse,NY,13210,43.048816,-76.141045,13154235263,flame713.com,Yes,Yes,Yes,Yes,,,,"Lunch, Dinner",Street,Yes,,No,Yes,Casual,"Casual, Trendy",Average,Full Bar,No,No,Yes,Yes,Yes,,,,,,,,,Yes,,,,,,4:00 PM,11:00 PM,4:00 PM,11:00 PM,4:00 PM,11:00 PM,4:00 PM,11:00 PM,4:00 PM,11:00 PM,,,23,12,4,1,3
24,New Century,Restaurant,Vietnamese,,,4.040697674,172,30,11,"518 Kirkpatrick St, Syracuse, NY 13208",518 Kirkpatrick St,Syracuse,NY,13208,43.06813509,-76.15387247,13154109999,newcenturyviet.com,No,No,Yes,Yes,No,,,"Lunch, Dinner","Street, Private Lot",Yes,No,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,No,No,Yes,No,,,,,,,,,,,,,10:30 AM,9:00 PM,,,10:30 AM,9:00 PM,10:30 AM,9:00 PM,10:30 AM,11:00 PM,10:30 AM,11:00 PM,10:30 AM,9:00 PM,73,60,21,9,9
25,With Love,Restaurant,Pakistani,,,4.857142857,7,30,11,"435 N Salina St, Syracuse, NY 13203",435 N Salina St,Syracuse,NY,13203,43.05665351,-76.15234729,13158703861,withloverestaurant.com,Yes,No,Yes,Yes,,,,,,,,Yes,Yes,Casual,,,,No,,No,Yes,,,,,,,,,,,,,,,,12:00 PM,2:00 PM,12:00 PM,2:00 PM,5:00 PM,8:00 PM,5:00 PM,8:00 PM,,,,,6,1,0,0,0
26,Phoebe's Restaurant & Coffee Lounge,Restaurant,American (New),Coffee & Tea,Venues & Event Spaces,3.939759036,83,30,11,"900 E Genesee St, Syracuse, NY 13210",900 E Genesee St,Syracuse,NY,13210,43.0469515,-76.1377377,13154755154,phoebessyracuse.com,Yes,No,Yes,Yes,,,No,Dinner,"Garage, Street, Private Lot",Yes,No,Yes,Yes,Casual,Casual,Average,Full Bar,No,Free,Yes,Yes,Yes,,No,,,,,,Yes,,,,,8:00 AM,2:00 PM,8:00 AM,9:00 PM,8:00 AM,9:00 PM,8:00 AM,9:00 PM,8:00 AM,9:00 PM,12:00 PM,9:00 PM,,,27,36,11,6,3
27,Dosa Grill,Restaurant,Indian,,,4.140625,128,30,11,"4467 E Genesee St, Syracuse, NY 13214",4467 E Genesee St,Syracuse,NY,13214,43.035398,-76.0660951,13154455555,syracusedosagrill.com,Yes,No,Yes,Yes,,,,"Lunch, Dinner",Private Lot,Yes,,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,No,No,Yes,Yes,,,,,,,,,,,,,11:00 AM,2:30 PM,11:00 AM,2:30 PM,11:00 AM,2:30 PM,11:00 AM,2:30 PM,11:00 AM,2:30 PM,11:00 AM,2:30 PM,11:00 AM,2:30 PM,57,46,14,8,3
28,Kitty Hoynes Irish Pub & Restaurant,Restaurant,Irish,Pubs,Music Venues,4.208092486,173,30,11,"301 W Fayette St, Syracuse, NY 13202",301 W Fayette St,Syracuse,NY,13202,43.0485403,-76.1557951,13154241974,kittyhoynes.com,Yes,No,Yes,Yes,No,,,Dinner,Street,Yes,Yes,No,Yes,Casual,Casual,Average,Full Bar,Yes,No,Yes,Yes,No,No,,No,No,Yes,"Thu, Fri, Sat",No,,,Live,,,11:00 AM,2:00 AM,11:00 AM,2:00 AM,11:00 AM,2:00 AM,11:00 AM,2:00 AM,11:00 AM,2:00 AM,11:00 AM,2:00 AM,,,79,62,22,9,1
29,Oompa Loompyas,Restaurant,Filipino,Asian Fusion,,4,18,10,0,"600 Burnet Ave, Syracuse, NY 13203",600 Burnet Ave,Syracuse,NY,13203,43.05208496,-76.13630299,13158765398,,No,Yes,Yes,No,,,,,,No,,Yes,No,Casual,,Quiet,,No,No,No,,Yes,,,,,,,,,,,,,,,11:00 AM,9:00 PM,11:00 AM,9:00 PM,11:00 AM,9:00 PM,9:00 AM,10:00 PM,9:00 AM,10:00 PM,9:00 AM,7:00 PM,9,4,3,0,2
30,Creole Soul Café,Restaurant,Cajun/Creole,,,4.513513514,37,30,11,"128 E Jefferson St, Syracuse, NY 13202",128 E Jefferson St,Syracuse,NY,13202,43.046754,-76.151751,13155304178,creolesoulcafe.com,No,Yes,Yes,Yes,,,No,,Street,Yes,Yes,Yes,Yes,Casual,Casual,Average,No,No,Free,Yes,No,Yes,,No,,,,,,,,,,,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,9:00 PM,8:00 AM,9:00 PM,10:00 AM,9:00 PM,,,25,9,1,1,1
31,Strong Hearts Cafe,Restaurant,Vegan,Cafes,Sandwiches,4.17,300,10,0,"719 E Genesee St, Syracuse, NY 13210",719 E Genesee St,Syracuse,NY,13210,43.047694,-76.140435,13154780000,strongheartscafe.com,No,No,Yes,Yes,Yes,,,"Breakfast, Brunch, Lunch, Dinner, Dessert",Street,Yes,Yes,Yes,Yes,Casual,"Hipster, Casual",Average,No,No,Free,No,No,No,,,,,,,,,Yes,,,,8:00 AM,11:00 PM,8:00 AM,11:00 PM,8:00 AM,11:00 PM,8:00 AM,11:00 PM,8:00 AM,12:00 AM,9:00 AM,12:00 AM,9:00 AM,11:00 PM,141,96,41,17,5
32,Funk ‘n Waffles,Restaurant,American (New),Breakfast & Brunch,Waffles,3.770114943,87,10,0,"313 S Clinton St, Syracuse, NY 13202",313 S Clinton St,Syracuse,NY,13202,43.0483626,-76.1534216,13154741060,funknwaffles.com,No,Yes,Yes,Yes,No,,No,"Breakfast, Brunch, Lunch, Dinner, Late Night, Dessert","Garage, Street, Private Lot",Yes,Yes,Yes,Yes,Casual,"Hipster, Casual",Average,Full Bar,Yes,Free,No,No,Yes,,No,,,,,,,,,Yes,,9:00 AM,12:00 AM,9:00 AM,12:00 AM,9:00 AM,12:00 AM,9:00 AM,12:00 AM,9:00 AM,2:00 AM,9:00 AM,2:00 AM,9:00 AM,12:00 AM,29,28,17,7,6
33,J Ryan's Pub,Restaurant,Bars,American (Traditional),,4.296296296,54,30,11,"253 E Water St, Syracuse, NY 13202",253 E Water St,Syracuse,NY,13202,43.0507037,-76.1496521,13153995533,jryanspub.com,No,No,Yes,Yes,No,,,"Lunch, Dinner, Late Night",Street,Yes,Yes,No,Yes,Casual,Casual,Average,Full Bar,Yes,No,Yes,Yes,No,No,,Yes,No,Yes,"Thu, Fri, Sat",Outdoor Area / Patio Only,,,Juke Box,,,11:00 AM,2:00 AM,11:00 AM,2:00 AM,11:00 AM,2:00 AM,11:00 AM,2:00 AM,11:00 AM,2:00 AM,11:00 AM,2:00 AM,12:00 PM,12:00 AM,26,20,6,2,0
34,Ky Duyen Cafe,Restaurant,Cafes,Vietnamese,,4.454545455,44,10,0,"488 N Salina St, Syracuse, NY 13203",488 N Salina St,Syracuse,NY,13203,43.057665,-76.151769,13154715207,,No,No,Yes,No,,,,Lunch,Street,Yes,,Yes,Yes,Casual,Divey,Quiet,No,No,No,No,No,No,,,,,,,,,,,,,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,27,13,2,1,1
35,Texas de Brazil,Restaurant,Steakhouses,Gluten-Free,Brazilian,3.813186813,91,60,31,"306 Hiawatha Blvd W\nSpace L-117, Syracuse, NY 13208",306 Hiawatha Blvd W\nSpace L-117,Syracuse,NY,13208,43.06735559,-76.17235251,13154017990,texasdebrazil.com,Yes,No,Yes,Yes,No,No,,Dinner,Garage,No,Yes,No,Yes,Casual,Trendy,Average,Full Bar,No,No,No,Yes,Yes,,No,,,,,,,,,Yes,,5:00 PM,9:30 PM,5:00 PM,9:30 PM,5:00 PM,9:30 PM,5:00 PM,9:30 PM,5:00 PM,10:00 PM,4:00 PM,10:00 PM,4:00 PM,9:00 PM,30,34,13,8,6
36,Peppino's Neapolitan,Restaurant,Pizza,Italian,Wine Bars,4.523809524,42,30,11,"409 S Clinton St, Syracuse, NY 13202",409 S Clinton St,Syracuse,NY,13202,43.04759416,-76.15351152,13154228811,peppinosneo.com,Yes,Yes,Yes,Yes,No,No,No,Lunch,"Garage, Street",Yes,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,No,No,Yes,Yes,No,Yes,,No,No,,,,,,,,10:00 AM,9:30 PM,10:00 AM,9:30 PM,10:00 AM,9:30 PM,10:00 AM,10:00 PM,10:00 AM,10:00 PM,10:00 AM,10:00 PM,11:00 AM,6:00 PM,30,8,0,4,0
37,Wolff's Biergarten,Restaurant,Bars,Beer Gardens,German,4.297297297,37,30,11,"106 Montgomery St., Syracuse, NY 13202",106 Montgomery St.,Syracuse,NY,13202,43.0501268,-76.1495237,13152997789,wolffsbiergarten.com,No,No,No,No,No,,,,Street,Yes,,No,Yes,Casual,Casual,Average,Full Bar,No,,Yes,No,No,No,,No,No,,"Thu, Fri, Sat",Outdoor Area / Patio Only,,,Background,,,11:00 AM,2:00 AM,11:00 AM,2:00 AM,11:00 AM,2:00 AM,11:00 AM,2:00 AM,11:00 AM,2:00 AM,9:00 AM,2:00 AM,9:00 AM,12:00 AM,20,13,0,3,1
38,Stella's Diner,Restaurant,Diners,,,3.841836735,196,10,0,"110 Wolf St, Syracuse, NY 13208",110 Wolf St,Syracuse,NY,13208,43.069096,-76.1653004,13154250353,stellasdinersyracuse.com,No,No,Yes,Yes,No,,,"Breakfast, Brunch, Lunch",Private Lot,Yes,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,Free,Yes,Yes,Yes,,,,,,,,,,,,,5:00 AM,2:30 PM,5:00 AM,2:30 PM,5:00 AM,2:30 PM,5:00 AM,9:00 PM,5:00 AM,9:00 PM,5:00 AM,9:00 PM,5:00 AM,6:00 PM,60,80,27,23,6
39,PB&J's Lunch Box,Restaurant,Cafes,,,5,3,10,0,"989 James St, Syracuse, NY 13203",989 James St,Syracuse,NY,13203,43.059426,-76.135831,13154763287,pbandjslunchbox.com,,Yes,Yes,Yes,,,,,Private Lot,Yes,Yes,,,,,,No,,,,,Yes,,,,,,,,,,,,,7:30 AM,6:00 PM,7:30 AM,6:00 PM,7:30 AM,6:00 PM,7:30 AM,6:00 PM,7:30 AM,6:00 PM,8:00 AM,2:00 PM,,,3,0,0,0,0
40,21 Cafe,Restaurant,Hot Pot,Szechuan,Imported Food,4.5,24,30,11,"124 Headson Dr, Syracuse, NY 13214",124 Headson Dr,Syracuse,NY,13214,43.05493483,-76.08485108,13154466688,21cafesyracuse.com,No,Yes,Yes,Yes,No,,,Lunch,Private Lot,Yes,,Yes,Yes,Casual,Casual,Quiet,No,No,No,Yes,No,,,,,,,,,,,,,,11:00 AM,10:00 PM,11:00 AM,10:00 PM,11:00 AM,10:00 PM,11:00 AM,10:00 PM,11:00 AM,11:00 PM,11:00 AM,11:00 PM,11:00 AM,10:00 PM,17,4,2,0,1
41,Eleven Waters,Restaurant,American (Traditional),Bars,Breakfast & Brunch,3.238095238,21,30,11,"500 S Warren St, Syracuse, NY 13202",500 S Warren St,Syracuse,NY,13202,43.0454758,-76.1508415,13155543541,elevenwaters.com,Yes,No,Yes,Yes,,,,,,Yes,,No,Yes,Casual,Classy,Quiet,Full Bar,Yes,,Yes,Yes,,No,,No,No,Yes,"Fri, Sat",No,,,Background,,,6:30 AM,10:00 PM,6:30 AM,10:00 PM,6:30 AM,10:00 PM,6:30 AM,10:00 PM,6:30 AM,10:00 PM,7:00 AM,10:00 PM,7:00 AM,10:00 PM,4,6,4,5,2
